"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2015) - Production de vin (de raisin) (NAF rév. 2, niveau classe, poste 11.02)";"Codes"
"idBank";"010537307";""
"Dernière mise à jour";"05/05/2023 08:45";""
"Période";"";""
"2023-03";"116.66";"A"
"2023-02";"115.99";"A"
"2023-01";"113.05";"A"
"2022-12";"92.99";"A"
"2022-11";"100.34";"A"
"2022-10";"104.41";"A"
"2022-09";"105.93";"A"
"2022-08";"106.74";"A"
"2022-07";"106.38";"A"
"2022-06";"109.87";"A"
"2022-05";"109.23";"A"
"2022-04";"108.1";"A"
"2022-03";"108.46";"A"
"2022-02";"105.13";"A"
"2022-01";"102.87";"A"
"2021-12";"101.44";"A"
"2021-11";"107.59";"A"
"2021-10";"108.65";"A"
"2021-09";"109.84";"A"
"2021-08";"104.22";"A"
"2021-07";"103.99";"A"
"2021-06";"112.65";"A"
"2021-05";"99.26";"A"
"2021-04";"93.49";"A"
"2021-03";"91.67";"A"
"2021-02";"91.91";"A"
"2021-01";"87.55";"A"
"2020-12";"93.06";"A"
"2020-11";"83.42";"A"
"2020-10";"88.77";"A"
"2020-09";"82.92";"A"
"2020-08";"85.38";"A"
"2020-07";"78.35";"A"
"2020-06";"70.79";"A"
"2020-05";"42.35";"A"
"2020-04";"31.15";"A"
"2020-03";"69.99";"A"
"2020-02";"92.56";"A"
"2020-01";"101.62";"A"
"2019-12";"98.25";"A"
"2019-11";"100.96";"A"
"2019-10";"92.9";"A"
"2019-09";"96.23";"A"
"2019-08";"85.38";"A"
"2019-07";"102.28";"A"
"2019-06";"92.72";"A"
"2019-05";"89.58";"A"
"2019-04";"96.92";"A"
"2019-03";"93.67";"A"
"2019-02";"102.93";"A"
"2019-01";"100.83";"A"
"2018-12";"97.66";"A"
"2018-11";"95.7";"A"
"2018-10";"97.75";"A"
"2018-09";"95.4";"A"
"2018-08";"97.9";"A"
"2018-07";"92.53";"A"
"2018-06";"101.42";"A"
"2018-05";"99.17";"A"
"2018-04";"99.91";"A"
"2018-03";"97.71";"A"
"2018-02";"98.47";"A"
"2018-01";"95.7";"A"
"2017-12";"97.16";"A"
"2017-11";"98.03";"A"
"2017-10";"100.32";"A"
"2017-09";"97.36";"A"
"2017-08";"109.52";"A"
"2017-07";"100.0";"A"
"2017-06";"100.54";"A"
"2017-05";"103.14";"A"
"2017-04";"98.49";"A"
"2017-03";"101.09";"A"
"2017-02";"97.42";"A"
"2017-01";"97.81";"A"
"2016-12";"98.23";"A"
"2016-11";"102.73";"A"
"2016-10";"96.68";"A"
"2016-09";"101.05";"A"
"2016-08";"99.7";"A"
"2016-07";"97.73";"A"
"2016-06";"92.55";"A"
"2016-05";"96.72";"A"
"2016-04";"90.76";"A"
"2016-03";"100.64";"A"
"2016-02";"101.99";"A"
"2016-01";"100.93";"A"
"2015-12";"101.59";"A"
"2015-11";"98.36";"A"
"2015-10";"102.77";"A"
"2015-09";"103.08";"A"
"2015-08";"101.36";"A"
"2015-07";"104.94";"A"
"2015-06";"88.67";"A"
"2015-05";"102.27";"A"
"2015-04";"101.39";"A"
"2015-03";"104.2";"A"
"2015-02";"92.13";"A"
"2015-01";"99.24";"A"
"2014-12";"102.04";"A"
"2014-11";"100.04";"A"
"2014-10";"97.83";"A"
"2014-09";"117.68";"A"
"2014-08";"99.09";"A"
"2014-07";"100.73";"A"
"2014-06";"99.14";"A"
"2014-05";"99.42";"A"
"2014-04";"102.16";"A"
"2014-03";"96.73";"A"
"2014-02";"99.39";"A"
"2014-01";"100.09";"A"
"2013-12";"101.77";"A"
"2013-11";"100.83";"A"
"2013-10";"97.33";"A"
"2013-09";"97.42";"A"
"2013-08";"99.28";"A"
"2013-07";"93.5";"A"
"2013-06";"102.21";"A"
"2013-05";"98.46";"A"
"2013-04";"100.63";"A"
"2013-03";"92.07";"A"
"2013-02";"96.99";"A"
"2013-01";"97.05";"A"
"2012-12";"97.94";"A"
"2012-11";"95.1";"A"
"2012-10";"101.98";"A"
"2012-09";"98.47";"A"
"2012-08";"105.45";"A"
"2012-07";"97.69";"A"
"2012-06";"97.74";"A"
"2012-05";"114.23";"A"
"2012-04";"98.43";"A"
"2012-03";"99.01";"A"
"2012-02";"100.43";"A"
"2012-01";"88.34";"A"
"2011-12";"97.65";"A"
"2011-11";"103.57";"A"
"2011-10";"103.15";"A"
"2011-09";"101.51";"A"
"2011-08";"102.03";"A"
"2011-07";"106.24";"A"
"2011-06";"105.26";"A"
"2011-05";"102.88";"A"
"2011-04";"104.88";"A"
"2011-03";"108.27";"A"
"2011-02";"103.13";"A"
"2011-01";"104.03";"A"
"2010-12";"102.77";"A"
"2010-11";"105.32";"A"
"2010-10";"101.5";"A"
"2010-09";"101.61";"A"
"2010-08";"95.98";"A"
"2010-07";"101.66";"A"
"2010-06";"88.75";"A"
"2010-05";"110.35";"A"
"2010-04";"99.81";"A"
"2010-03";"100.4";"A"
"2010-02";"98.93";"A"
"2010-01";"86.9";"A"
"2009-12";"106.56";"A"
"2009-11";"99.33";"A"
"2009-10";"96.22";"A"
"2009-09";"94.73";"A"
"2009-08";"88.83";"A"
"2009-07";"91.08";"A"
"2009-06";"95.23";"A"
"2009-05";"89.97";"A"
"2009-04";"85.18";"A"
"2009-03";"86.24";"A"
"2009-02";"76.76";"A"
"2009-01";"75.49";"A"
"2008-12";"102.92";"A"
"2008-11";"98.78";"A"
"2008-10";"98.8";"A"
"2008-09";"102.48";"A"
"2008-08";"105.71";"A"
"2008-07";"109.08";"A"
"2008-06";"99.57";"A"
"2008-05";"101.49";"A"
"2008-04";"106.32";"A"
"2008-03";"107.51";"A"
"2008-02";"111.54";"A"
"2008-01";"107.92";"A"
"2007-12";"105.98";"A"
"2007-11";"105.31";"A"
"2007-10";"119.32";"A"
"2007-09";"109.04";"A"
"2007-08";"113.49";"A"
"2007-07";"105.57";"A"
"2007-06";"110.16";"A"
"2007-05";"115.88";"A"
"2007-04";"108.48";"A"
"2007-03";"103.98";"A"
"2007-02";"112.16";"A"
"2007-01";"107.55";"A"
"2006-12";"107.81";"A"
"2006-11";"103.43";"A"
"2006-10";"107.75";"A"
"2006-09";"102.5";"A"
"2006-08";"103.97";"A"
"2006-07";"98.92";"A"
"2006-06";"109.78";"A"
"2006-05";"104.38";"A"
"2006-04";"104.22";"A"
"2006-03";"104.53";"A"
"2006-02";"92.27";"A"
"2006-01";"98.79";"A"
"2005-12";"101.17";"A"
"2005-11";"100.62";"A"
"2005-10";"89.53";"A"
"2005-09";"99.12";"A"
"2005-08";"103.11";"A"
"2005-07";"98.75";"A"
"2005-06";"91.39";"A"
"2005-05";"93.13";"A"
"2005-04";"94.24";"A"
"2005-03";"89.24";"A"
"2005-02";"103.69";"A"
"2005-01";"97.57";"A"
"2004-12";"93.87";"A"
"2004-11";"98.14";"A"
"2004-10";"84.19";"A"
"2004-09";"95.78";"A"
"2004-08";"92.24";"A"
"2004-07";"98.99";"A"
"2004-06";"97.18";"A"
"2004-05";"97.07";"A"
"2004-04";"94.18";"A"
"2004-03";"95.19";"A"
"2004-02";"95.79";"A"
"2004-01";"94.7";"A"
"2003-12";"93.08";"A"
"2003-11";"93.4";"A"
"2003-10";"94.0";"A"
"2003-09";"94.94";"A"
"2003-08";"88.87";"A"
"2003-07";"93.89";"A"
"2003-06";"93.9";"A"
"2003-05";"89.49";"A"
"2003-04";"98.65";"A"
"2003-03";"93.12";"A"
"2003-02";"89.56";"A"
"2003-01";"92.26";"A"
"2002-12";"88.65";"A"
"2002-11";"94.4";"A"
"2002-10";"89.99";"A"
"2002-09";"90.61";"A"
"2002-08";"92.51";"A"
"2002-07";"90.98";"A"
"2002-06";"91.44";"A"
"2002-05";"94.11";"A"
"2002-04";"94.32";"A"
"2002-03";"95.9";"A"
"2002-02";"91.18";"A"
"2002-01";"78.67";"A"
"2001-12";"88.8";"A"
"2001-11";"85.58";"A"
"2001-10";"86.28";"A"
"2001-09";"87.31";"A"
"2001-08";"89.3";"A"
"2001-07";"79.26";"A"
"2001-06";"81.42";"A"
"2001-05";"86.06";"A"
"2001-04";"82.35";"A"
"2001-03";"79.32";"A"
"2001-02";"72.75";"A"
"2001-01";"67.79";"A"
"2000-12";"85.1";"A"
"2000-11";"86.19";"A"
"2000-10";"81.12";"A"
"2000-09";"81.21";"A"
"2000-08";"78.44";"A"
"2000-07";"81.92";"A"
"2000-06";"84.87";"A"
"2000-05";"71.83";"A"
"2000-04";"72.08";"A"
"2000-03";"63.18";"A"
"2000-02";"74.12";"A"
"2000-01";"76.96";"A"
"1999-12";"79.0";"A"
"1999-11";"104.14";"A"
"1999-10";"110.52";"A"
"1999-09";"112.35";"A"
"1999-08";"113.29";"A"
"1999-07";"107.14";"A"
"1999-06";"116.09";"A"
"1999-05";"105.7";"A"
"1999-04";"101.07";"A"
"1999-03";"101.97";"A"
"1999-02";"102.99";"A"
"1999-01";"98.7";"A"
"1998-12";"89.55";"A"
"1998-11";"94.5";"A"
"1998-10";"92.99";"A"
"1998-09";"88.09";"A"
"1998-08";"88.22";"A"
"1998-07";"95.19";"A"
"1998-06";"90.9";"A"
"1998-05";"93.08";"A"
"1998-04";"87.4";"A"
"1998-03";"91.35";"A"
"1998-02";"90.32";"A"
"1998-01";"92.03";"A"
"1997-12";"88.05";"A"
"1997-11";"83.03";"A"
"1997-10";"89.87";"A"
"1997-09";"86.15";"A"
"1997-08";"85.35";"A"
"1997-07";"83.3";"A"
"1997-06";"80.07";"A"
"1997-05";"82.04";"A"
"1997-04";"86.72";"A"
"1997-03";"79.94";"A"
"1997-02";"88.4";"A"
"1997-01";"77.18";"A"
"1996-12";"91.21";"A"
"1996-11";"79.03";"A"
"1996-10";"74.4";"A"
"1996-09";"80.14";"A"
"1996-08";"81.97";"A"
"1996-07";"77.8";"A"
"1996-06";"76.53";"A"
"1996-05";"83.94";"A"
"1996-04";"79.17";"A"
"1996-03";"81.14";"A"
"1996-02";"75.76";"A"
"1996-01";"79.25";"A"
"1995-12";"75.72";"A"
"1995-11";"78.8";"A"
"1995-10";"77.97";"A"
"1995-09";"80.97";"A"
"1995-08";"75.18";"A"
"1995-07";"89.69";"A"
"1995-06";"79.9";"A"
"1995-05";"75.05";"A"
"1995-04";"81.53";"A"
"1995-03";"77.23";"A"
"1995-02";"77.46";"A"
"1995-01";"76.88";"A"
"1994-12";"78.82";"A"
"1994-11";"82.07";"A"
"1994-10";"76.16";"A"
"1994-09";"78.96";"A"
"1994-08";"82.67";"A"
"1994-07";"78.29";"A"
"1994-06";"78.48";"A"
"1994-05";"73.14";"A"
"1994-04";"73.31";"A"
"1994-03";"89.7";"A"
"1994-02";"55.72";"A"
"1994-01";"75.65";"A"
"1993-12";"75.65";"A"
"1993-11";"75.43";"A"
"1993-10";"74.53";"A"
"1993-09";"72.18";"A"
"1993-08";"69.8";"A"
"1993-07";"73.08";"A"
"1993-06";"73.07";"A"
"1993-05";"73.25";"A"
"1993-04";"73.9";"A"
"1993-03";"76.06";"A"
"1993-02";"68.87";"A"
"1993-01";"64.79";"A"
"1992-12";"72.06";"A"
"1992-11";"67.11";"A"
"1992-10";"71.17";"A"
"1992-09";"66.56";"A"
"1992-08";"61.26";"A"
"1992-07";"68.96";"A"
"1992-06";"66.48";"A"
"1992-05";"72.39";"A"
"1992-04";"66.35";"A"
"1992-03";"69.08";"A"
"1992-02";"64.27";"A"
"1992-01";"68.28";"A"
"1991-12";"68.85";"A"
"1991-11";"71.85";"A"
"1991-10";"56.2";"A"
"1991-09";"76.04";"A"
"1991-08";"65.01";"A"
"1991-07";"64.8";"A"
"1991-06";"69.84";"A"
"1991-05";"67.41";"A"
"1991-04";"74.4";"A"
"1991-03";"64.27";"A"
"1991-02";"70.81";"A"
"1991-01";"90.17";"A"
"1990-12";"51.99";"A"
"1990-11";"65.45";"A"
"1990-10";"70.97";"A"
"1990-09";"68.88";"A"
"1990-08";"93.83";"A"
"1990-07";"73.76";"A"
"1990-06";"88.4";"A"
"1990-05";"87.93";"A"
"1990-04";"83.28";"A"
"1990-03";"83.96";"A"
"1990-02";"92.61";"A"
"1990-01";"93.07";"A"
